Dec 12,Muhammad Annas,Liat trending kok munculnya #BoikotJNE sama #JNEKadrun ... pas liat isinya cuman gegara karyawan JNE foto sama ust. Haikal Hasan + diucapin selamat ulang tahun sama ust. Abdul Somad... OMG segitu bencinya sama islam ya... ckckck
Dec 12,Gus Miko,#BoikotJNE #JNETerpaparVirusKadrun
Dec 12,#AntiPKI #AntiHTI #AntiPKS,Move On & #BoikotJNE   Ternyata @JNE_ID Sarang C-drone.. Ternyata @JNE_ID tempat doktrinasi K-drone
Dec 12,Mr Jacky,#BoikotJNE
Dec 12,R 10 N,Dan konsumen itu adalah raja bisa memilih untuk #BoikotJNE
Dec 12,NdasMumet,Bisa pilih jasa pengiriman lainnya  bahkan ada yang lebih murah  #BoikotJNE
Dec 12,emi_yunia,Jne Sorogenen lokasi dmn ? Kok tdk diklarifikasi oleh manajemen @JNE_ID ? ..apakah benar #JNEKadrun ? ..klo iya #BoikotJNE
Dec 12,Gus Uran,#BoikotJNE   giliran nanti ada give away  mereka pada ikutan   cebong emang begitu
Dec 12,𝕬𝖓𝖉𝖗𝖊𝖆𝖘 𝕬𝖉𝖞,Kawal #BoikotJNE
Dec 12,Cahyadin,Ayo pilih aja sicepat buat pengiriman #BoikotJNE
Dec 12,Azka F. Imaniar,Penasaran sama trending #BoikotJNE   aku kira jne ada kasus. ternyata rame gara2 diucapin selamat ultah dari ustad somad & ahok. Emboh lah netijen.
Dec 12,OGoued,Hahaha... kenak getah JNE.. Bahagianya Ekspedisi lain...liat JNE #BoikotJNE
Dec 12,Amar Ma'ruf,Manut dawuh yai #BoikotJNE
Dec 12,emi_yunia,Malah makin menjadi ya #BoikotJNE #JNEKadrun ...tp mungkin manajemen nya malah seneng Krn dia trending topic
Dec 12,Arya Soma,#BoikotJNE  sudah jadi Trading sejak semlm  Awet banget 
Dec 12,Roda Jalanan,#BoikotJNE #JNEKadrun ternyata @JNE_ID mendukung FPI pendukung ISIS. Kadrun pasti panas heuheu
Dec 12,mata_mata,Basi.... #BoikotJNE
Dec 12,service forklift,#BoikotJNE
Dec 12,one last breath,Kalo urusan bisnis udh dicampur ama urusan agama  kayak gini jadinya. #BoikotJNE
Dec 12,Ferdinand Hutahaean,Sampai pagi ini tagar #BoikotJNE dan #JNEKadrun masih tayang teratas. Hebat kalian anak2 Nusantara cinta NKRI..!!   Makanya @JNE_ID jgn main2 dgn Anak Nusantara dan NKRI. Ini akan berdampak luar biasa ke JNE.  Ayo beralih ke yg lain  tinggalkan JNE..!
Dec 12,samba madangkara,#JNE30Ngadrun #JNEKadrun #BoikotJNE Nich juga maksudnya apa...? Jasa pelayan ekspedisi kok bahas gini segala.. Mikir mikir..!
Dec 12,Early LR,#BoikotJNE #JNEKadrun
Dec 12,#TT Dewi Darmawati,seriusan   duhhh selama ini kita ikutan danai teroris  #FPITeroris #BoikotJNE
Dec 12,Edi Sucipto,#BoikotJNE
Dec 12,CUNG,Pengaruh seorang tokoh membuat Bisnis menjadi hancur #BoikotJNE
Dec 12,Bromocorah GarisCebong,#BoikotJNE
Dec 12,Nyame Gelah,Yah.... JNE bagian dari sebuah kaum. Pakai yg lain aja.... #JNEKadrun #BoikotJNE
Dec 12,Bromocorah GarisCebong,#BoikotJNE
Dec 12,Putra petir,oke fix nggak pake JNE lagi  #BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",  Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,The Bacot Post,#BoikotJNE HAS BEEN TRENDING ON TWITTER FOR THE LAST 2 DAYS.   JNE  a national courier company criticized by netizens due to having a close relationship with Haikal. A clergy behind of 212 movement
Dec 12,Rakyat Indonesia,Kadrunisi #BoikotJNE
Dec 12,NGKONG TOYYIB فيديوهات مضحكة لك,Kenapa tak ditagari #BoikotJNE
Dec 12,Sok Bijak,Selamat Pagi  . . . . #BoikotJNE #JNEKadrun #haikal Tidur #selamatpagi #BijakBermediaSosial #katabijak
Dec 12,Lesi Kotara,Yang mau boikot JNE itu orng orang kafir.. Pertanyaannya itu berapa persen orang kafir di negeri ini..oh ya saya yakin ga semua orng kafir bakal sepemikiran dengan cebong  #BoikotJNE
